time;V(/VoutN)1;V(/VoutP)1;V(/BiasOut)1;a
0,0046228;0,02498;-0,0397957;-0,00346371;
0,0046328;0,0294961;-0,0442458;-0,00376348;
0,0046428;0,0340103;-0,0486944;-0,00406325;
0,0046528;0,0385223;-0,0531412;-0,00436299;
0,0046628;0,043032;-0,0575859;-0,0046627;
0,0046728;0,0475391;-0,0620284;-0,00496235;
0,0046828;0,0520434;-0,0664684;-0,00526193;
0,0046928;0,0565448;-0,0709058;-0,00556144;
0,0047028;0,0610429;-0,0753403;-0,00586084;
0,0047128;0,0655376;-0,0797717;-0,00616014;
0,0047228;0,0700286;-0,0841998;-0,00645932;
0,0047328;0,0745158;-0,0886244;-0,00675835;
0,0047428;0,078999;-0,0930453;-0,00705724;
0,0047528;0,0834778;-0,0974623;-0,00735595;
0,0047628;0,0879522;-0,101875;-0,00765449;
0,0047728;0,0924218;-0,106284;-0,00795283;
0,0047828;0,0968865;-0,110687;-0,00825096;
0,0047928;0,101346;-0,115086;-0,00854887;
0,0048028;0,1058;-0,119481;-0,00884654;
0,0048128;0,110249;-0,12387;-0,00914396;
0,0048228;0,114692;-0,128253;-0,00944112;
0,0048328;0,119129;-0,132631;-0,00973799;
0,0048428;0,123559;-0,137003;-0,0100346;
0,0048528;0,127984;-0,141369;-0,0103308;
0,0048628;0,132401;-0,145729;-0,0106268;
0,0048728;0,136812;-0,150082;-0,0109224;
0,0048828;0,141216;-0,154429;-0,0112177;
0,0048928;0,145612;-0,158769;-0,0115126;
0,0049028;0,150001;-0,163101;-0,0118071;
0,0049128;0,154383;-0,167427;-0,0121012;
0,0049228;0,158756;-0,171745;-0,0123949;
0,0049328;0,163122;-0,176055;-0,0126882;
0,0049428;0,167479;-0,180358;-0,0129811;
0,0049528;0,171827;-0,184652;-0,0132735;
0,0049628;0,176167;-0,188938;-0,0135654;
0,0049728;0,180498;-0,193215;-0,0138569;
0,0049828;0,18482;-0,197484;-0,0141479;
0,0049928;0,189132;-0,201744;-0,0144384;
0,0050028;0,193435;-0,205995;-0,0147283;
0,0050128;0,197728;-0,210236;-0,0150177;
0,0050228;0,202012;-0,214468;-0,0153066;
0,0050328;0,206285;-0,21869;-0,0155949;
0,0050428;0,210547;-0,222902;-0,0158827;
0,0050528;0,214799;-0,227104;-0,0161698;
0,0050628;0,219041;-0,231296;-0,0164564;
0,0050728;0,223271;-0,235477;-0,0167423;
0,0050828;0,22749;-0,239647;-0,0170277;
0,0050928;0,231698;-0,243807;-0,0173123;
0,0051028;0,235894;-0,247955;-0,0175963;
0,0051128;0,240079;-0,252092;-0,0178797;
0,0051228;0,244251;-0,256218;-0,0181624;
0,0051328;0,248411;-0,260331;-0,0184443;
0,0051428;0,252559;-0,264433;-0,0187256;
0,0051528;0,256695;-0,268523;-0,0190061;
0,0051628;0,260817;-0,2726;-0,0192859;
0,0051728;0,264927;-0,276665;-0,019565;
0,0051828;0,269023;-0,280718;-0,0198433;
0,0051928;0,273106;-0,284757;-0,0201208;
0,0052028;0,277176;-0,288783;-0,0203975;
0,0052128;0,281232;-0,292796;-0,0206734;
0,0052228;0,285273;-0,296795;-0,0209485;
0,0052328;0,289301;-0,300781;-0,0212228;
0,0052428;0,293314;-0,304753;-0,0214962;
0,0052528;0,297313;-0,308711;-0,0217688;
0,0052628;0,301297;-0,312655;-0,0220405;
0,0052728;0,305266;-0,316584;-0,0223113;
0,0052828;0,309221;-0,320498;-0,0225812;
0,0052928;0,313159;-0,324398;-0,0228502;
0,0053028;0,317083;-0,328283;-0,0231183;
0,0053128;0,32099;-0,332153;-0,0233855;
0,0053228;0,324882;-0,336007;-0,0236517;
0,0053328;0,328758;-0,339846;-0,023917;
0,0053428;0,332618;-0,343669;-0,0241813;
0,0053528;0,336461;-0,347476;-0,0244446;
0,0053628;0,340287;-0,351267;-0,0247069;
0,0053728;0,344097;-0,355042;-0,0249682;
0,0053828;0,34789;-0,3588;-0,0252285;
0,0053928;0,351666;-0,362542;-0,0254877;
0,0054028;0,355424;-0,366267;-0,0257459;
0,0054128;0,359165;-0,369974;-0,026003;
0,0054228;0,362889;-0,373665;-0,0262591;
0,0054328;0,366594;-0,377339;-0,0265141;
0,0054428;0,370281;-0,380994;-0,026768;
0,0054528;0,373951;-0,384633;-0,0270207;
0,0054628;0,377602;-0,388253;-0,0272724;
0,0054728;0,381234;-0,391855;-0,0275229;
0,0054828;0,384847;-0,395439;-0,0277723;
0,0054928;0,388442;-0,399005;-0,0280205;
0,0055028;0,392018;-0,402552;-0,0282676;
0,0055128;0,395574;-0,406081;-0,0285135;
0,0055228;0,399111;-0,40959;-0,0287581;
0,0055328;0,402628;-0,413081;-0,0290016;
0,0055428;0,406126;-0,416552;-0,0292439;
0,0055528;0,409604;-0,420004;-0,0294849;
0,0055628;0,413061;-0,423436;-0,0297247;
