time;V(/VoutN)1;V(/VoutP)1;V(/BiasDrive)1;a
0,00533376;0,324674;-0,344665;-0,0285572;
0,00534376;0,328513;-0,348505;-0,0288405;
0,00535376;0,332337;-0,352329;-0,0291225;
0,00536376;0,336144;-0,356136;-0,0294032;
0,00537376;0,339935;-0,359927;-0,0296827;
0,00538376;0,343708;-0,363701;-0,0299609;
0,00539376;0,347465;-0,367458;-0,0302378;
0,00540376;0,351205;-0,371199;-0,0305134;
0,00541376;0,354928;-0,374921;-0,0307876;
0,00542376;0,358633;-0,378627;-0,0310606;
0,00543376;0,362321;-0,382315;-0,0313321;
0,00544376;0,365991;-0,385985;-0,0316023;
0,00545376;0,369642;-0,389637;-0,0318712;
0,00546376;0,373276;-0,393271;-0,0321386;
0,00547376;0,376892;-0,396887;-0,0324047;
0,00548376;0,380488;-0,400484;-0,0326693;
0,00549376;0,384067;-0,404062;-0,0329326;
0,00550376;0,387626;-0,407622;-0,0331943;
0,00551376;0,391167;-0,411163;-0,0334547;
0,00552376;0,394688;-0,414684;-0,0337135;
0,00553376;0,39819;-0,418187;-0,0339709;
0,00554376;0,401672;-0,421669;-0,0342268;
0,00555376;0,405135;-0,425132;-0,0344812;
