time;V(/VoutN)1;V(/VoutP)1;
0,0629967;0,450692;-0,109355;
0,0630967;0,417241;-0,0605148;
0,0631967;0,382532;-0,0106505;
0,0632967;0,346749;0,0400158;
0,0633967;0,310076;0,0912579;
0,0634967;0,272704;0,142846;
0,0635967;0,234825;0,194547;
0,0636967;0,196634;0,246128;
0,0637967;0,158325;0,297355;
0,0638967;0,120092;0,347994;
0,0639967;0,0821288;0,397814;
0,0640967;0,0446258;0,446587;
0,0641967;0,00777099;0,494089;
0,0642967;-0,0282517;0,540102;
0,0643967;-0,0632633;0,584411;
0,0644967;-0,0970906;0,626812;
0,0645967;-0,129567;0,667107;
0,0646967;-0,160533;0,705109;
0,0647967;-0,189837;0,740638;
0,0648967;-0,217338;0,773529;
0,0649967;-0,242902;0,803624;
0,0650967;-0,266408;0,830782;
0,0651967;-0,287742;0,854871;
0,0652967;-0,306805;0,875776;
0,0653967;-0,323507;0,893394;
0,0654967;-0,337773;0,907637;
0,0655967;-0,349539;0,918435;
0,0656967;-0,358753;0,92573;
0,0657967;-0,365377;0,929481;
0,0658967;-0,369386;0,929664;
0,0659967;-0,37077;0,92627;
0,0660967;-0,36953;0,919305;
0,0661967;-0,365683;0,908795;
0,0662967;-0,359255;0,894779;
0,0663967;-0,350291;0,877311;
0,0664967;-0,338844;0,856464;
0,0665967;-0,324983;0,832324;
0,0666967;-0,308788;0,804993;
0,0667967;-0,29035;0,774585;
0,0668967;-0,269773;0,741231;
0,0669967;-0,247172;0,705074;
0,0670967;-0,222672;0,666269;
0,0671967;-0,196407;0,624984;
0,0672967;-0,168522;0,581397;
0,0673967;-0,139169;0,535698;
0,0674967;-0,108508;0,488084;
0,0675967;-0,0767061;0,438762;
0,0676967;-0,0439367;0,387946;
0,0677967;-0,0103781;0,335857;
0,0678967;0,0237867;0,282721;
0,0679967;0,0583715;0,228768;
0,0680967;0,0931873;0,174233;
0,0681967;0,128044;0,119352;
0,0682967;0,162749;0,0643609;
0,0683967;0,197113;0,00949802;
0,0684967;0,230945;-0,0450008;
0,0685967;0,264057;-0,0989016;
0,0686967;0,296265;-0,151974;
0,0687967;0,327387;-0,203991;
0,0688967;0,357248;-0,254732;
0,0689967;0,385678;-0,303982;
0,0690967;0,412511;-0,351536;
0,0691967;0,437593;-0,397193;
0,0692967;0,460774;-0,440765;
0,0693967;0,481914;-0,482072;
0,0694967;0,500884;-0,520946;
0,0695967;0,517564;-0,557232;
0,0696634;0,527364;-0,579926;
0,0697264;0,535612;-0,600211;
0,0697723;0,540997;-0,614278;
0,0698198;0,545991;-0,628155;
0,0698641;0,550117;-0,640478;
0,0699525;0,556816;-0,663323;
0,0700525;0,561849;-0,686188;
0,0701525;0,564135;-0,705839;
0,0702525;0,563635;-0,722214;
0,0703525;0,560321;-0,735262;
0,0704525;0,554179;-0,744951;
0,0705525;0,545209;-0,751266;
0,0706525;0,533425;-0,754204;
0,0707525;0,518852;-0,753781;
0,0708525;0,501534;-0,750029;
0,0709525;0,481521;-0,742993;
0,0710525;0,458883;-0,732736;
0,0711525;0,433699;-0,719336;
0,0712525;0,406061;-0,702884;
0,0713525;0,376073;-0,683486;
0,0714525;0,343851;-0,661263;
0,0715525;0,309522;-0,636347;
0,0716525;0,273224;-0,608884;
0,0717525;0,235104;-0,579031;
0,0718525;0,195319;-0,546956;
0,0719525;0,154032;-0,512838;
0,0720525;0,111417;-0,476864;
0,0721525;0,0676532;-0,439229;
0,0722525;0,022926;-0,400138;
0,0723525;-0,0225738;-0,359799;
0,0724525;-0,0686514;-0,318428;
0,0725525;-0,115108;-0,276243;
0,0726525;-0,161744;-0,233468;
0,0727525;-0,208356;-0,190326;
0,0728525;-0,254741;-0,147044;
0,0729525;-0,300697;-0,103847;
0,0730525;-0,346023;-0,0609596;
0,0731525;-0,390519;-0,0186038;
0,0732525;-0,43399;0,0230012;
0,0733525;-0,476245;0,0636408;
0,0734525;-0,517096;0,103106;
0,0735525;-0,556362;0,141194;
0,0736525;-0,593871;0,177709;
0,0737525;-0,629455;0,212465;
0,0738525;-0,662956;0,245283;
0,0739525;-0,694225;0,275996;
0,0740525;-0,723124;0,304447;
0,0741525;-0,749522;0,330492;
0,0742525;-0,773303;0,353997;
0,0743525;-0,79436;0,374843;
0,0744525;-0,812599;0,392924;
0,0745525;-0,827939;0,408148;
0,0746525;-0,840311;0,420438;
0,0747525;-0,849659;0,429731;
0,0748525;-0,855942;0,435981;
0,0749525;-0,859132;0,439155;
0,0750525;-0,859214;0,439237;
