time;V(/Bias_Out)1;V(/VoutN)1;V(/VoutP)1;
0,106152;2,50642;2,49581;2,49698;
0,106162;2,50633;2,49563;2,49679;
0,106172;2,50609;2,49547;2,49664;
0,106182;2,50644;2,49571;2,49687;
0,106192;2,50654;2,49593;2,49709;
0,106202;2,50645;2,49575;2,49691;
0,106212;2,50617;2,49556;2,49672;
0,106222;2,50639;2,49567;2,49683;
0,106232;2,50638;2,49577;2,49693;
0,106242;2,5063;2,49561;2,49676;
0,106252;2,50608;2,49548;2,49663;
0,106262;2,50642;2,4957;2,49685;
0,106272;2,50651;2,49591;2,49706;
0,106282;2,50642;2,49573;2,49688;
0,106292;2,50615;2,49555;2,49669;
0,106302;2,5064;2,49569;2,49683;
0,106312;2,50642;2,49582;2,49696;
0,106322;2,50633;2,49564;2,49678;
0,106332;2,50609;2,49549;2,49662;
0,106342;2,50644;2,49572;2,49685;
0,106352;2,50654;2,49594;2,49708;
0,106362;2,50645;2,49577;2,4969;
0,106372;2,50617;2,49558;2,49671;
0,106382;2,50639;2,49568;2,49681;
0,106392;2,50638;2,49578;2,49691;
0,106402;2,5063;2,49562;2,49675;
0,106412;2,50608;2,49549;2,49661;
0,106422;2,50642;2,49571;2,49683;
0,106432;2,50651;2,49592;2,49704;
0,106442;2,50642;2,49574;2,49687;
0,106452;2,50615;2,49556;2,49668;
0,106462;2,5064;2,4957;2,49682;
0,106472;2,50642;2,49583;2,49695;
0,106482;2,50633;2,49565;2,49677;
0,106492;2,50609;2,4955;2,49661;
0,106502;2,50644;2,49573;2,49684;
0,106512;2,50654;2,49595;2,49706;
0,106522;2,50645;2,49578;2,49689;
0,106532;2,50617;2,49559;2,49669;
0,106542;2,50639;2,4957;2,4968;
0,106552;2,50638;2,4958;2,4969;
0,106562;2,5063;2,49563;2,49673;
